#,Company,Symbol,Weight,Price,Chg,% Chg
373,Expedia Group Inc.,EXPE,0.045183,97.6,4.45,-4.78%
374,Atmos Energy Corporation,ATO,0.045058,101.74,1.63,-1.63%
375,NetApp Inc.,NTAP,0.045039,65.65,3.17,-5.07%
376,Avery Dennison Corporation,AVY,0.044971,171.04,2.32,-1.38%
377,Akamai Technologies Inc.,AKAM,0.044066,86.48,2.32,-2.76%
378,Tyler Technologies Inc.,TYL,0.044027,335.95,1.39,-0.42%
379,Jack Henry & Associates Inc.,JKHY,0.044021,187.32,1.86,-1.00%
380,APA Corp.,APA,0.044,43.7,2.19,-5.28%
381,J.B. Hunt Transport Services Inc.,JBHT,0.043396,165.21,4.72,-2.94%
382,Iron Mountain Inc.,IRM,0.043269,47.07,0.77,-1.66%
383,Trimble Inc.,TRMB,0.043267,55.88,2.39,-4.47%
384,Zebra Technologies Corporation Class A,ZBRA,0.043072,257.3,1.07,-0.42%
385,Skyworks Solutions Inc.,SWKS,0.042379,83.81,2.37,-2.91%
386,LKQ Corporation,LKQ,0.042378,49.78,-0.3,(-0.60%)
387,Hormel Foods Corporation,HRL,0.042183,44.97,0.08,-0.18%
388,Evergy Inc.,EVRG,0.041981,58.16,1.12,-1.96%
389,Textron Inc.,TXT,0.041841,62.94,2,-3.28%
390,Incyte Corporation,INCY,0.041724,73.27,4.31,-6.25%
391,Howmet Aerospace Inc.,HWM,0.041621,35.37,1.35,-3.97%
392,Leidos Holdings Inc.,LDOS,0.041341,95.39,2.04,-2.19%
393,Best Buy Co. Inc.,BBY,0.041178,63.77,0.92,-1.46%
394,Cboe Global Markets Inc,CBOE,0.040808,119.87,0.89,-0.75%
395,Garmin Ltd.,GRMN,0.0405,82.77,1.91,-2.36%
396,Cooper Companies Inc.,COO,0.040491,259.99,4.29,-1.68%
397,NortonLifeLock Inc.,NLOK,0.040394,21.84,0.24,-1.11%
398,United Airlines Holdings Inc.,UAL,0.040357,40.55,1.5,-3.84%
399,Las Vegas Sands Corp.,LVS,0.040104,39.07,1.48,-3.94%
400,FLEETCOR Technologies Inc.,FLT,0.039925,170.47,6.47,-3.95%
401,Etsy Inc.,ETSY,0.039801,101.48,4.04,-4.15%
402,NVR Inc.,NVR,0.039683,"4,046.65",87.1,-2.20%
403,Catalent Inc,CTLT,0.03947,67.63,-0.64,(-0.94%)
404,Host Hotels & Resorts Inc.,HST,0.039409,17.97,0.73,-4.23%
405,Alliant Energy Corp,LNT,0.0392,49.76,1.06,-2.18%
406,Match Group Inc.,MTCH,0.038945,43.69,0.99,-2.32%
407,Healthpeak Properties Inc.,PEAK,0.038917,22.44,-0.01,(-0.04%)
408,Camden Property Trust,CPT,0.038707,113.89,1.62,-1.44%
409,Lamb Weston Holdings Inc.,LW,0.038572,81.72,-0.96,(-1.16%)
410,Kimco Realty Corporation,KIM,0.038267,19.69,0.47,-2.45%
411,International Paper Company,IP,0.038255,33.08,1.17,-3.67%
412,Domino's Pizza Inc.,DPZ,0.037888,321.56,2.06,-0.64%
413,Teradyne Inc.,TER,0.037651,76.5,2.55,-3.45%
414,UDR Inc.,UDR,0.037572,39.2,0.31,-0.80%
415,Brown-Forman Corporation Class B,BF.B,0.037235,63.9,0.53,-0.84%
416,C.H. Robinson Worldwide Inc.,CHRW,0.037187,94.08,1.61,-1.74%
417,Nordson Corporation,NDSN,0.037046,216.53,5.02,-2.37%
418,PTC Inc.,PTC,0.03687,112.39,4.18,-3.86%
419,ABIOMED Inc.,ABMD,0.036858,256.22,3.71,-1.47%
420,Pool Corporation,POOL,0.036589,284.83,0.91,-0.32%
421,Live Nation Entertainment Inc.,LYV,0.036377,79.53,0.67,-0.85%
422,Viatris Inc.,VTRS,0.036324,9.22,-0.12,(-1.28%)
423,Interpublic Group of Companies Inc.,IPG,0.035635,28.24,0.09,-0.32%
424,SolarEdge Technologies Inc.,SEDG,0.035469,203.99,6.15,-3.11%
425,Bio-Techne Corporation,TECH,0.035301,283.29,1.16,-0.41%
426,Snap-on Incorporated,SNA,0.035255,207.75,4.61,-2.27%
427,Stanley Black & Decker Inc.,SWK,0.035239,73.95,1.8,-2.49%
428,Everest Re Group Ltd.,RE,0.034603,279.88,9.87,-3.66%
429,Packaging Corporation of America,PKG,0.034488,116.94,4.07,-3.61%
430,MGM Resorts International,MGM,0.034385,33.92,1.46,-4.50%
431,Royal Caribbean Group,RCL,0.034377,49.2,1.68,-3.54%
432,Advance Auto Parts Inc.,AAP,0.034258,171.34,1.06,-0.62%
433,Seagate Technology Holdings PLC,STX,0.034252,55.7,2.67,-5.03%
434,Loews Corporation,L,0.033974,55.5,1.86,-3.47%
435,Western Digital Corporation,WDC,0.033812,34.9,1.43,-4.27%
436,Globe Life Inc.,GL,0.033042,113.5,3.7,-3.37%
437,Boston Properties Inc.,BXP,0.03304,72.5,0.2,-0.28%
438,Campbell Soup Company,CPB,0.032786,50.25,0.37,-0.74%
439,Masco Corporation,MAS,0.03271,46.39,1.72,-3.85%
440,Charles River Laboratories International Inc.,CRL,0.032238,200.18,0.69,-0.35%
441,NiSource Inc,NI,0.031722,24.49,0.34,-1.41%
442,Huntington Ingalls Industries Inc.,HII,0.031374,249.89,6.88,-2.83%
443,Paramount Global Class B,PARA,0.03133,19.22,0.11,-0.58%
444,NRG Energy Inc.,NRG,0.031094,42.36,1.64,-4.03%
445,Henry Schein Inc.,HSIC,0.030393,70.24,2.57,-3.80%
446,Celanese Corporation,CE,0.029789,94.64,2.59,-2.81%
447,CarMax Inc.,KMX,0.02958,55.69,-0.78,(-1.38%)
448,Molson Coors Beverage Company Class B,TAP,0.029426,49.16,0.92,-1.91%
449,Teleflex Incorporated,TFX,0.029121,197.67,4,-2.07%
450,Signature Bank,SBNY,0.028888,143,0.34,-0.24%
451,Fox Corporation Class A,FOXA,0.028873,29.42,0.41,-1.41%
452,Juniper Networks Inc.,JNPR,0.028871,28.76,1.15,-4.17%
453,Eastman Chemical Company,EMN,0.028849,74.31,1.95,-2.69%
454,V.F. Corporation,VFC,0.028717,27.69,0.11,-0.40%
455,Robert Half International Inc.,RHI,0.02855,73.01,-6.83,(-8.55%)
456,MarketAxess Holdings Inc.,MKTX,0.028275,243,11.52,-4.98%
457,PulteGroup Inc.,PHM,0.028121,37.49,0.9,-2.46%
458,American Airlines Group Inc.,AAL,0.027999,13.72,0.26,-1.93%
459,Ceridian HCM Holding Inc.,CDAY,0.027722,57.91,2.13,-3.82%
460,Comerica Incorporated,CMA,0.027688,65.34,0.58,-0.90%
461,F5 Inc.,FFIV,0.027619,148.22,5.26,-3.68%
462,Qorvo Inc.,QRVO,0.027522,85.5,3.38,-4.12%
463,Regency Centers Corporation,REG,0.026701,55.67,1.36,-2.50%
464,Hasbro Inc.,HAS,0.026536,65.65,1.54,-2.40%
465,WestRock Company,WRK,0.026386,32.86,0.87,-2.72%
466,BorgWarner Inc.,BWA,0.026139,34.54,0.77,-2.28%
467,Bio-Rad Laboratories Inc. Class A,BIO,0.02599,378.21,2.41,-0.64%
468,Allegion Public Limited Company,ALLE,0.025903,92.79,2.99,-3.33%
469,Rollins Inc.,ROL,0.025844,36.43,0.44,-1.22%
470,Caesars Entertainment Inc,CZR,0.025819,39.9,2.49,-6.66%
471,Carnival Corporation,CCL,0.025265,8.2,0.2,-2.50%
472,Assurant Inc.,AIZ,0.025112,146.91,1.61,-1.11%
473,Tapestry Inc.,TPR,0.024907,31.27,0.79,-2.59%
474,Bath & Body Works Inc.,BBWI,0.024234,33.71,0.98,-2.99%
475,Lincoln National Corporation,LNC,0.024033,50.38,2.6,-5.44%
476,Whirlpool Corporation,WHR,0.023865,131.22,-0.11,(-0.08%)
477,Zions Bancorporation N.A.,ZION,0.023066,47.98,0.85,-1.80%
478,Pinnacle West Capital Corporation,PNW,0.022866,64.18,1.53,-2.44%
479,Fortune Brands Home & Security Inc.,FBHS,0.022435,55.12,1.68,-3.14%
480,Generac Holdings Inc.,GNRC,0.022313,109.48,-0.42,(-0.38%)
481,Sealed Air Corporation,SEE,0.022142,46.86,0.93,-2.02%
482,Invesco Ltd.,IVZ,0.021284,14.89,0.48,-3.33%
483,DXC Technology Co.,DXC,0.021154,28.97,0.62,-2.19%
484,News Corporation Class A,NWSA,0.02114,16.81,0.12,-0.72%
485,A. O. Smith Corporation,AOS,0.020874,50.13,1.37,-2.81%
486,Pentair plc,PNR,0.0208,39.62,0.61,-1.56%
487,Federal Realty Investment Trust,FRT,0.020433,92.27,1.72,-1.90%
488,Universal Health Services Inc. Class B,UHS,0.02042,90,-4.05,(-4.31%)
489,DENTSPLY SIRONA Inc.,XRAY,0.020126,29.06,0.42,-1.47%
490,Lumen Technologies Inc.,LUMN,0.019907,6.66,-0.04,(-0.60%)
491,Organon & Co.,OGN,0.019309,23.68,0.12,-0.51%
492,Franklin Resources Inc.,BEN,0.019235,22.53,0.79,-3.63%
493,Norwegian Cruise Line Holdings Ltd.,NCLH,0.019158,14.93,0.7,-4.92%
494,Wynn Resorts Limited,WYNN,0.019124,58.94,2.81,-5.01%
495,Newell Brands Inc,NWL,0.018041,15.02,0.29,-1.97%
496,DaVita Inc.,DVA,0.016443,89.99,-0.94,(-1.03%)
497,Alaska Air Group Inc.,ALK,0.016047,41.01,1.13,-2.83%
498,Mohawk Industries Inc.,MHK,0.015422,95.37,2.87,-3.10%
499,Fox Corporation Class B,FOX,0.013035,27.61,0.25,-0.91%
500,Ralph Lauren Corporation Class A,RL,0.012494,90.71,1.01,-1.13%
501,DISH Network Corporation Class A,DISH,0.011169,14.09,0.16,-1.15%
502,Vornado Realty Trust,VNO,0.011107,22.39,0.55,-2.52%
503,News Corporation Class B,NWS,0.006715,17.75,0.84,-4.97%
